task,epoch,train_loss,train_acc,val_loss,val_acc
style,1,1.8128286831092248,0.3664520465560548,1.7713587736128973,0.36541477507222453
style,2,1.3400240235912848,0.47367955566561715,1.3646224786759997,0.4543128353281057
style,3,1.1109404079467147,0.5284076838716525,1.3138565433256595,0.49294263309946346
style,4,0.9435040327928012,0.5783068595889199,1.3615216772565162,0.5008666941807677
style,5,0.7869191337016389,0.6187780804471645,1.2662798355691354,0.5453569954601734
style,6,0.6652533869573476,0.6622917182580395,1.2719080411644943,0.5481634337598019
style,7,0.5785864009869661,0.6948915696748859,1.4133675145650273,0.54428394552208
style,8,0.49089881830479115,0.7292602681572151,1.4445537772692287,0.548823772183244
style,9,0.4363034531633842,0.7526444263628966,1.5068654660641336,0.5761452744531572
style,10,0.37899768465531114,0.7838999540099763,1.513972085672521,0.5440363186132893
