task,epoch,train_loss,train_acc,val_loss,val_acc
artist,1,5.7314987462980636,0.10004599002370256,4.681437878425683,0.16756087494841107
artist,2,3.59796058868887,0.2549085506067145,3.893218800493178,0.2540652084193149
artist,3,2.3689096370981364,0.3927017370078183,3.4200086273440538,0.3582335947172926
artist,4,1.550946787624384,0.5080128772066367,3.4941881482285306,0.39859678085018574
artist,5,1.0256398539938394,0.6031060954469877,3.5153373200884546,0.4417664052827074
artist,6,0.6837576572537932,0.6792372731453639,3.66337474607703,0.4684275691291787
artist,7,0.5014340423355139,0.7313298192238299,3.841331394477369,0.4617416425918283
artist,8,0.3985899212730067,0.7699437506633177,3.844716249632038,0.4840280643829963
artist,9,0.31250800566901515,0.8018714401952807,3.784347128976341,0.5068097399917457
artist,10,0.24866126600598767,0.829377012063537,4.090225025272251,0.49665703673132483
