task,epoch,train_loss,train_acc,val_loss,val_acc
genre,1,1.116325536015536,0.5669976072283133,1.0044550388696323,0.6031164069660861
genre,2,0.8950718271660382,0.6283168458269347,0.996072664490621,0.6023664694608782
genre,3,0.7761388751937766,0.6633155958715761,1.0633574474996232,0.6042829764186318
genre,4,0.6719014486420696,0.6944216277990072,0.9816847276713945,0.6409465877843513
genre,5,0.5700116083837484,0.7299025034820185,0.9945956707617216,0.6494458795100408
genre,6,0.4946687520710444,0.7589907503303454,0.993382705308813,0.6436130322473127
genre,7,0.415303553940079,0.7918645762651334,1.0142970188363236,0.6539455045412882
genre,8,0.35839643591766057,0.8170422484911253,1.1054535023660106,0.658361803183068
genre,9,0.3086570721941971,0.8422199207171173,1.2174766293006156,0.647946004499625
genre,10,0.27418425883239034,0.8599335738009357,1.1215492600734798,0.6515290392467294
